"Frequency (Hz)","Absolute Amplitude (a.u.)"
9.960937500E2,1.417797616E0
9.975585938E2,4.249278890E-1
9.990234375E2,1.620609377E0
1.000488281E3,9.808210138E-1
1.001953125E3,9.711035462E-1
1.003417969E3,8.010080093E-1
1.004882812E3,7.178445899E-1
1.006347656E3,6.885366014E-1
1.007812500E3,9.446428381E-1
1.009277344E3,1.049490084E0
1.010742188E3,3.661589809E-1
1.012207031E3,3.015086625E-1
1.013671875E3,6.074393151E-1
1.015136719E3,1.196524098E0
1.016601562E3,1.632980911E0
1.018066406E3,1.611025110E0
1.019531250E3,4.114175592E-1
1.020996094E3,3.109213850E-1
1.022460938E3,1.198692857E0
1.023925781E3,5.334319958E-1
1.025390625E3,1.020257867E0
1.026855469E3,1.959693393E0
1.028320312E3,1.474770219E0
1.029785156E3,5.638891592E-1
1.031250000E3,3.202049029E-1
1.032714844E3,1.196068250E0
1.034179688E3,4.048132790E-1
1.035644531E3,5.474790403E-1
1.037109375E3,1.604204857E0
1.038574219E3,9.987089113E-1
1.040039062E3,5.713514444E-1
1.041503906E3,1.195840011E0
1.042968750E3,3.173679772E-1
1.044433594E3,1.179122417E0
1.045898438E3,6.126125363E-1
1.047363281E3,1.031761535E0
1.048828125E3,1.942810203E0
1.050292969E3,1.595676914E0
1.051757812E3,9.308008825E-1
1.053222656E3,1.103366892E0
1.054687500E3,2.038351575E0
1.056152344E3,1.160526565E0
1.057617188E3,4.791091090E-1
1.059082031E3,1.040391789E0
1.060546875E3,6.188987710E-1
1.062011719E3,8.235199432E-1
1.063476562E3,9.272965008E-1
1.064941406E3,8.374738832E-1
1.066406250E3,1.069139539E0
1.067871094E3,6.746822920E-1
1.069335938E3,2.974631139E-1
1.070800781E3,1.142206021E0
1.072265625E3,6.308405328E-1
1.073730469E3,3.535384476E-1
1.075195312E3,3.768169044E-1
1.076660156E3,1.074479031E0
1.078125000E3,7.756170170E-1
1.079589844E3,8.193741801E-1
1.081054688E3,2.458781780E-1
1.082519531E3,2.527918228E-1
1.083984375E3,7.122197953E-1
1.085449219E3,1.243853234E0
1.086914062E3,2.055946553E-1
1.088378906E3,1.083214438E0
1.089843750E3,9.044700359E-1
1.091308594E3,7.984326880E-1
1.092773438E3,9.401623753E-1
1.094238281E3,6.060084868E-1
1.095703125E3,2.969831599E-1
